Order_ID;Order_Line_ID;Customer_ID;Date;Product_Category_id;Unit_Price;Quantity;Discount_Amount;Payment_id;Device_Type_id;Session_Duration_Minutes;Pages_Viewed;Is_Returning_Customer;Delivery_Time_Days;Customer_Rating
1;ORD_000001-1;1;29.05.2023;1;29,18;1;0;1;1;14;9;WAHR;13;4
2;ORD_000001-2;1;12.10.2023;2;644,4;1;138,05;2;2;14;8;WAHR;6;2
3;ORD_000001-3;1;05.12.2023;3;332,82;5;0;2;1;15;10;WAHR;9;4
4;ORD_000002-1;2;11.05.2023;4;69,3;5;71,05;1;2;16;13;WAHR;4;4
5;ORD_000002-2;2;16.06.2023;5;178,15;3;0;2;1;14;7;WAHR;6;4
6;ORD_000003-1;3;27.02.2023;6;198,28;2;0;2;3;10;9;FALSCH;6;2
7;ORD_000003-2;3;03.01.2024;2;526,85;5;0;1;2;11;8;WAHR;6;5
8;ORD_000004-1;4;13.02.2024;7;96,2;5;97,78;2;2;16;15;FALSCH;4;5
9;ORD_000005-1;5;16.03.2023;2;533,67;3;0;3;1;12;8;FALSCH;5;5
10;ORD_000005-2;5;12.06.2023;6;73,06;4;0;2;1;13;12;WAHR;7;2
11;ORD_000005-3;5;21.06.2023;7;529,48;1;0;2;2;13;8;WAHR;5;4
12;ORD_000006-1;6;24.07.2023;5;139,07;5;0;4;2;17;9;WAHR;10;4
13;ORD_000006-2;6;07.08.2023;5;144,63;1;12,77;2;1;14;9;WAHR;6;4
14;ORD_000006-3;6;27.08.2023;4;139,54;3;0;1;1;17;10;WAHR;7;5
15;ORD_000007-1;7;05.01.2024;7;294,9;5;142,95;5;1;17;9;WAHR;7;4
16;ORD_000008-1;8;14.09.2023;3;913,94;1;190,15;2;2;14;11;FALSCH;4;5
17;ORD_000008-2;8;07.10.2023;3;1197,86;4;0;4;1;19;9;WAHR;5;5
18;ORD_000008-3;8;09.10.2023;6;87,06;1;0;4;2;18;7;WAHR;9;4
19;ORD_000009-1;9;16.02.2024;7;235,43;2;0;4;2;11;11;FALSCH;2;3
20;ORD_000010-1;10;15.08.2023;7;444,19;1;0;2;1;14;11;WAHR;2;2
21;ORD_000010-2;10;17.12.2023;1;109,25;5;0;4;1;14;8;WAHR;10;5
22;ORD_000010-3;10;04.03.2024;5;107,68;4;0;2;2;15;8;WAHR;2;5
23;ORD_000011-1;11;08.04.2023;5;212,45;4;0;2;1;8;8;WAHR;5;5
24;ORD_000011-2;11;23.05.2023;7;161,63;3;0;2;1;12;14;WAHR;7;5
25;ORD_000011-3;11;05.11.2023;8;506,22;5;0;1;1;12;4;WAHR;14;5
26;ORD_000011-4;11;11.12.2023;5;146,81;4;69,74;3;2;18;8;WAHR;2;4
27;ORD_000011-5;11;14.12.2023;3;666,57;3;208,58;2;2;14;10;WAHR;4;4
28;ORD_000011-6;11;13.01.2024;1;20,54;2;0;4;1;15;8;WAHR;5;4
29;ORD_000011-7;11;14.03.2024;6;22,59;5;0;2;1;12;13;WAHR;2;5
30;ORD_000012-1;12;02.02.2024;6;264,8;3;0;4;2;8;7;FALSCH;9;4
31;ORD_000013-1;13;09.02.2023;2;799,42;1;172,04;1;1;12;7;WAHR;13;5
32;ORD_000013-2;13;25.02.2024;4;40,59;1;0;1;1;13;6;WAHR;5;5
33;ORD_000014-1;14;22.01.2023;4;74,76;1;0;4;2;13;6;WAHR;5;3
34;ORD_000014-2;14;28.09.2023;5;91,17;5;0;2;2;17;5;WAHR;9;2
35;ORD_000014-3;14;08.10.2023;1;19,95;1;0;2;1;15;7;WAHR;6;4
36;ORD_000015-1;15;13.02.2023;8;1880,69;3;0;2;1;18;12;FALSCH;4;4
37;ORD_000015-2;15;15.05.2023;3;341,87;2;0;4;1;15;9;WAHR;8;1
38;ORD_000015-3;15;20.08.2023;8;4537,8;3;2752,15;1;1;11;10;WAHR;5;4
39;ORD_000015-4;15;15.10.2023;1;129,65;2;38,85;5;2;11;7;WAHR;4;4
40;ORD_000016-1;16;23.01.2023;8;930,34;2;194,12;3;1;14;7;WAHR;8;4
41;ORD_000016-2;16;17.04.2023;8;1121,29;5;1053,3;1;1;14;8;WAHR;8;5
42;ORD_000016-3;16;07.07.2023;4;26,54;2;0;1;2;18;12;WAHR;4;1
43;ORD_000016-4;16;13.07.2023;6;105,22;5;61,67;4;1;17;9;WAHR;3;3
44;ORD_000016-5;16;22.08.2023;4;36,33;4;12,66;4;3;12;9;WAHR;6;4
45;ORD_000016-6;16;10.11.2023;4;25,36;4;0;2;1;12;8;WAHR;3;4
46;ORD_000016-7;16;01.12.2023;6;303,05;2;0;4;3;9;5;WAHR;7;3
47;ORD_000016-8;16;13.01.2024;4;63,94;1;0;2;3;19;8;WAHR;11;4
48;ORD_000016-9;16;25.01.2024;1;19,2;3;0;2;1;18;10;WAHR;5;5
49;ORD_000016-10;16;02.02.2024;5;76,52;1;0;2;2;11;11;WAHR;5;3
50;ORD_000017-1;17;27.09.2023;2;301,17;3;0;4;1;13;9;WAHR;6;5
51;ORD_000018-1;18;01.01.2023;1;20,84;5;0;3;1;17;10;WAHR;5;4
52;ORD_000018-2;18;21.09.2023;4;132,37;4;0;1;3;17;8;WAHR;8;4
53;ORD_000018-3;18;19.12.2023;5;101,08;5;0;2;1;11;10;WAHR;7;5
54;ORD_000018-4;18;18.03.2024;2;668,66;3;0;2;2;10;9;WAHR;5;5
55;ORD_000019-1;19;28.02.2024;7;431,39;2;189,68;1;1;17;9;WAHR;4;4
56;ORD_000020-1;20;19.12.2023;5;241,88;3;0;4;1;7;12;WAHR;13;5
57;ORD_000020-2;20;05.02.2024;2;925,76;2;0;2;1;12;7;WAHR;10;4
58;ORD_000021-1;21;27.10.2023;1;58,8;5;0;1;1;15;6;FALSCH;7;4
59;ORD_000021-2;21;20.01.2024;3;1062,74;4;0;1;1;14;7;WAHR;5;4
60;ORD_000021-3;21;18.03.2024;7;186,29;4;89,74;4;1;18;10;WAHR;9;5
61;ORD_000022-1;22;28.05.2023;6;80,94;3;0;2;2;17;9;FALSCH;6;3
