Order_ID,Date,Age,Gender,City_Name,Product_Category_Name,Payment_Method,Device_Type,Unit_Price,Quantity,Discount_Amount,Total_Amount,Session_Duration_Minutes,Pages_Viewed,Is_Returning_Customer,Delivery_Time_Days,Customer_Rating
52,2023-09-21,38,Female,Bursa,Food,"Digital Wallet",Tablet,132.37,4,0.00,529.48,17,8,1,8,4
132,2024-03-08,29,Male,Bursa,Electronics,"Digital Wallet",Tablet,1171.38,2,274.80,2067.96,14,9,1,6,5
171,2023-08-20,46,Male,Ankara,Toys,"Digital Wallet",Tablet,293.20,4,0.00,1172.80,18,5,1,12,5
192,2023-08-11,39,Male,Gaziantep,Fashion,"Digital Wallet",Tablet,187.19,2,0.00,374.38,13,11,1,11,2
228,2023-02-04,31,Male,Istanbul,Books,"Digital Wallet",Tablet,49.31,2,0.00,98.62,18,10,0,10,4
343,2024-02-01,38,Female,Izmir,Toys,"Digital Wallet",Tablet,124.86,4,0.00,499.44,14,6,1,6,3
579,2023-04-02,52,Female,Ankara,Food,"Digital Wallet",Tablet,45.89,4,0.00,183.56,18,10,1,8,4
680,2023-07-27,18,Male,Gaziantep,Sports,"Digital Wallet",Tablet,166.52,4,0.00,666.08,16,9,1,7,4
793,2023-10-08,25,Female,Antalya,"Home & Garden","Digital Wallet",Tablet,505.02,3,0.00,1515.06,11,10,1,3,5
823,2024-01-11,29,Female,Konya,Beauty,"Digital Wallet",Tablet,202.97,4,147.39,664.49,15,6,1,4,4
1017,2024-01-02,32,Female,Ankara,Toys,"Digital Wallet",Tablet,376.94,4,118.99,1388.77,18,7,0,10,2
1074,2023-11-09,24,Female,Gaziantep,Toys,"Digital Wallet",Tablet,103.00,4,84.76,327.24,16,10,1,8,4
1085,2024-01-30,33,Female,Istanbul,Electronics,"Digital Wallet",Tablet,4522.58,1,0.00,4522.58,19,11,1,17,4
1256,2023-06-30,19,Female,Istanbul,Food,"Digital Wallet",Tablet,108.23,4,0.00,432.92,15,10,1,10,5
1309,2023-06-24,42,Male,Izmir,Food,"Digital Wallet",Tablet,133.41,3,67.62,332.61,20,9,1,3,4
1373,2024-03-22,46,Male,Izmir,Food,"Digital Wallet",Tablet,46.16,4,28.19,156.45,14,15,1,1,4
1529,2024-02-24,28,Male,Eskisehir,Electronics,"Digital Wallet",Tablet,323.28,5,219.35,1397.05,12,8,1,3,5
1611,2023-05-08,55,Male,Gaziantep,Sports,"Digital Wallet",Tablet,739.98,3,0.00,2219.94,15,14,1,5,5
1654,2023-01-24,29,Male,Bursa,"Home & Garden","Digital Wallet",Tablet,368.15,4,169.70,1302.90,10,12,1,5,5
1656,2023-05-08,29,Male,Bursa,Electronics,"Digital Wallet",Tablet,3195.24,1,0.00,3195.24,21,9,1,4,4
1659,2023-05-06,27,Male,Konya,Books,"Digital Wallet",Tablet,51.78,4,0.00,207.12,14,5,1,10,3
1925,2024-03-11,47,Male,Antalya,Electronics,"Digital Wallet",Tablet,719.56,5,236.89,3360.91,14,8,1,4,2
2089,2024-03-14,18,Female,Ankara,"Home & Garden","Digital Wallet",Tablet,694.25,5,0.00,3471.25,15,9,1,6,5
2152,2024-01-04,48,Male,Istanbul,Toys,"Digital Wallet",Tablet,246.45,4,87.19,898.61,11,11,1,8,4
2198,2023-11-01,18,Male,Bursa,Electronics,"Digital Wallet",Tablet,2379.05,3,462.09,6675.06,14,5,1,5,3
2265,2023-01-19,32,Female,Konya,Books,"Digital Wallet",Tablet,68.19,1,0.00,68.19,14,12,0,3,5
2289,2023-09-17,48,Other,Bursa,Sports,"Digital Wallet",Tablet,958.65,1,0.00,958.65,12,10,1,14,3
2333,2023-03-18,18,Female,Istanbul,Food,"Digital Wallet",Tablet,204.37,3,101.37,511.74,17,10,1,3,4
2352,2023-05-26,18,Female,Adana,Toys,"Digital Wallet",Tablet,29.88,2,4.92,54.84,13,15,1,3,1
2397,2023-07-09,38,Female,Gaziantep,Books,"Digital Wallet",Tablet,34.41,3,0.00,103.23,15,9,1,8,3
2398,2023-05-13,18,Male,Izmir,Beauty,"Digital Wallet",Tablet,156.10,3,29.19,439.11,10,10,1,4,3
